文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一串红 Yichuanhong.txt,2025-05-13 10:19:59,药用植物,0.0,主治症状,0.0
一叶萩 Yiyeqiu.txt,2025-05-13 10:20:22,药用植物,1.0,主治症状,1.0
一品红 Yipinhong.txt,2025-05-13 10:20:40,药用植物,1.0,主治症状,1.0
一把伞南星 Yibasannanxing.txt,2025-05-13 10:20:56,药用植物,1.0,主治症状,1.0
一枝黄花 Yizhihuanghua.txt,2025-05-13 10:21:30,药用植物,1.0,主治症状,1.0
一点红 Yidianhong.txt,2025-05-13 10:22:06,药用植物,1.0,主治症状,1.0
丁香 Dingxiang.txt,2025-05-13 10:22:24,药用植物,1.0,主治症状,1.0
七叶一枝花 Qiyeyizhihua.txt,2025-05-13 10:22:36,药用植物,1.0,主治症状,1.0
七叶树 Qiyeshu.txt,2025-05-13 10:22:52,药用植物,1.0,主治症状,1.0
万寿竹 Wanshouzhu.txt,2025-05-13 10:23:16,药用植物,1.0,主治症状,1.0
