文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一串红 Yichuanhong.txt,2025-05-16 21:09:20,功能、属、性味、疾病、科、药用植物、药用部位,0.0,功能、属于、性味、治疗、药用部位,0.0
一叶萩 Yiyeqiu.txt,2025-05-16 21:09:34,功能、属、性味、疾病、科、药用植物、药用部位,1.0,功能、属于、性味、治疗、药用部位,1.0
一品红 Yipinhong.txt,2025-05-16 21:09:47,功能、属、性味、疾病、科、药用植物、药用部位,1.0,功能、属于、性味、治疗、药用部位,1.0
一把伞南星 Yibasannanxing.txt,2025-05-16 21:10:11,功能、属、性味、疾病、科、药用植物、药用部位,1.0,功能、属于、性味、治疗、药用部位,1.0
一枝黄花 Yizhihuanghua.txt,2025-05-16 21:10:29,功能、属、性味、疾病、科、药用植物、药用部位,1.0,功能、属于、性味、治疗、药用部位,1.0
一点红 Yidianhong.txt,2025-05-16 21:10:47,功能、属、性味、疾病、科、药用植物、药用部位,1.0,功能、属于、性味、治疗、药用部位,1.0
丁香 Dingxiang.txt,2025-05-16 21:11:20,功能、属、性味、疾病、科、药用植物、药用部位,1.0,功能、属于、性味、治疗、药用部位,1.0
七叶一枝花 Qiyeyizhihua.txt,2025-05-16 21:11:33,功能、属、性味、疾病、科、药用植物、药用部位,1.0,功能、属于、性味、治疗、药用部位,1.0
七叶树 Qiyeshu.txt,2025-05-16 21:11:50,功能、属、性味、疾病、科、药用植物、药用部位,1.0,别名、功能、属于、性味、治疗、药用部位,0.8333333333333334
万寿竹 Wanshouzhu.txt,2025-05-16 21:12:10,别名、功能、属、性味、疾病、科、药用植物、药用部位,0.875,别名、功能、属于、性味、治疗、药用部位,1.0
万寿菊 Wanshouju.txt,2025-05-16 21:12:29,功能、属、性味、疾病、科、药用植物、药用部位,0.875,功能、属于、性味、治疗、药用部位,0.8333333333333334
万年青 Wannianqing.txt,2025-05-16 21:13:08,功能、属、性味、疾病、科、药用植物、药用部位,0.875,与、功能、属于、性味、治疗、药用部位,0.7142857142857143
三七 Sanqi.txt,2025-05-16 21:13:22,功能、属、性味、疾病、科、药用植物、药用部位,0.875,功能、属于、性味、治疗、药用部位,0.7142857142857143
三分三 Sanfensan.txt,2025-05-16 21:13:36,功能、属、性味、疾病、科、药用植物、药用部位,0.875,功能、属于、性味、治疗、药用部位,0.7142857142857143
三叉苦 Sanchaku.txt,2025-05-16 21:13:51,别名、功能、属、性味、疾病、科、药用植物、药用部位,1.0,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
三叶木通 Sanyemutong.txt,2025-05-16 21:14:25,别名、功能、属、性味、疾病、科、药用植物、药用部位,1.0,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
三白草 Sanbaicao.txt,2025-05-16 21:14:43,功能、属、性味、疾病、科、药用植物、药用部位,0.875,功能、属于、性味、治疗、药用部位,0.7142857142857143
三色堇 Sansejin.txt,2025-05-16 21:15:03,别名、功能、属、性味、疾病、科、药用植物、药用部位,1.0,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-16 21:15:17,别名、功能、属、性味、疾病、科、药用植物、药用部位,1.0,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
东方罂粟 Dongfangyingsu.txt,2025-05-16 21:15:31,功能、属、疾病、科、药用植物、药用部位,0.75,功能、属于、治疗、药用部位,0.5714285714285714
丝棉木 Simianmu.txt,2025-05-16 21:15:59,功能、属、性味、疾病、科、药用植物、药用部位,0.875,功能、属于、性味、治疗、药用部位,0.7142857142857143
丝瓜 Sigua.txt,2025-05-16 21:16:14,别名、功能、属、性味、疾病、科、药用植物、药用部位,1.0,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
两面针 Liangmainzhen.txt,2025-05-16 21:16:29,功能、属、性味、疾病、科、药用植物、药用部位,0.875,功能、属于、性味、治疗、药用部位,0.7142857142857143
中华猕猴桃 Zhonghuamihoutao.txt,2025-05-16 21:17:05,别名、功能、属、性味、疾病、科、药用植物、药用部位,1.0,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
中国无忧花 Zhongguowuyouhua.txt,2025-05-16 21:17:24,别名、功能、属、性味、疾病、科、药用植物、药用部位,1.0,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
中国沙棘 Zhongguoshaji.txt,2025-05-16 21:17:43,别名、功能、属、性味、疾病、科、药用植物、药用部位,1.0,与、别名、功能、属于、性味、治疗、药用部位,1.0
中麻黄 Zhongmahuang.txt,2025-05-16 21:18:12,别名、功能、属、性味、疾病、科、药材、药用植物、药用部位,0.8888888888888888,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
丹参 Danshen.txt,2025-05-16 21:18:29,功能、属、性味、疾病、科、药材、药用部位,0.7777777777777778,与、功能、属于、性味、治疗、药用部位,0.8571428571428571
乌头 Chuanwutou.txt,2025-05-16 21:18:46,功能、属、性味、疾病、科、药材、药用植物、药用部位,0.8888888888888888,与、别名、功能、属于、性味、治疗、药用部位,1.0
乌头叶蛇葡萄 Wutouyesheputao.txt,2025-05-16 21:19:11,别名、功能、属、性味、疾病、科、药用植物、药用部位,0.8888888888888888,别名、功能、属于、性味、治疗、药用部位,0.8571428571428571
乌桕 Wujiu.txt,2025-05-16 21:19:41,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.8,与、功能、属于、性味、治疗、药用部位、记载,0.75
乌毛蕨 Wumaojue.txt,2025-05-16 21:19:59,别名、功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,1.0,与、别名、功能、属于、性味、治疗、药用部位、记载于,0.7777777777777778
乌药 Wuyao.txt,2025-05-16 21:20:15,功能、属、性味、文献、疾病、科、药材、药用部位,0.8,功能、属于、性味、治疗、药用部位、记载于,0.6666666666666666
乌蔹莓 Wulianmei.txt,2025-05-16 21:20:35,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,功能、属于、性味、治疗、药用部位、记载于,0.6666666666666666
乌蕨 Wujue.txt,2025-05-16 21:21:02,别名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.9,别名、功能、属于、性味、治疗、药用部位、记载于,0.7777777777777778
九头狮子草 Jiutoushizhicao.txt,2025-05-16 21:21:25,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,功能、属于、性味、治疗、药用部位、记载于,0.6666666666666666
九里香 Jiulixiang.txt,2025-05-16 21:21:41,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8,功能、属于、性味、治疗、药用部位、记载于,0.6666666666666666
买麻藤 Maimateng.txt,2025-05-16 21:22:00,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,功能、属于、性味、治疗、药用部位、记载于,0.6666666666666666
乳茄 Ruqie.txt,2025-05-16 21:22:12,别名、功能、属、性味、疾病、科、药用植物、药用部位,0.8,别名、功能、属于、性味、治疗、药用部位,0.6666666666666666
了哥王 Liaogewang.txt,2025-05-16 21:22:39,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,功能、属于、性味、治疗、药用部位、记载于,0.6666666666666666
二色补血草 Ersebuxuecao.txt,2025-05-16 21:23:09,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8,功能、属于、性味、治疗、药用部位、记载于,0.6666666666666666
云南重楼 Chonglong.txt,2025-05-16 21:23:20,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,别名、功能、属于、性味、治疗、药用部位、记载于,0.7777777777777778
云木香 Yunmuxiang.txt,2025-05-16 21:23:33,别名、功能、属、性味、文献、疾病、科、药材、药用部位,0.9,与、别名、功能、属于、性味、治疗、药用部位,0.7777777777777778
五味子 Wuweizi.txt,2025-05-16 21:23:57,功能、属、性味、文献、疾病、科、药材、药用植物、药用部位,0.9,与、功能、属于、性味、治疗、药用部位、记载于,0.7777777777777778
