文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一串红 Yichuanhong.txt,2025-05-16 18:47:05,功能、属、性味、疾病、科、药用植物、药用部位,0.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.0
一叶萩 Yiyeqiu.txt,2025-05-16 18:47:28,功能、属、性味、文献、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.8571428571428571
一品红 Yipinhong.txt,2025-05-16 18:47:53,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.8571428571428571
一把伞南星 Yibasannanxing.txt,2025-05-16 18:48:33,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
一枝黄花 Yizhihuanghua.txt,2025-05-16 18:49:08,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
一点红 Yidianhong.txt,2025-05-16 18:49:36,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
丁香 Dingxiang.txt,2025-05-16 18:50:09,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
七叶一枝花 Qiyeyizhihua.txt,2025-05-16 18:50:18,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
七叶树 Qiyeshu.txt,2025-05-16 18:50:30,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,1.0
万寿竹 Wanshouzhu.txt,2025-05-16 18:50:51,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、功能、属于属、属于科、药用部位为、记载于文献,0.875
万寿菊 Wanshouju.txt,2025-05-16 18:51:27,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
万年青 Wannianqing.txt,2025-05-16 18:52:20,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三七 Sanqi.txt,2025-05-16 18:53:32,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三分三 Sanfensan.txt,2025-05-16 18:54:10,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三叉苦 Sanchaku.txt,2025-05-16 18:54:50,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.875
三叶木通 Sanyemutong.txt,2025-05-16 18:55:58,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、功能、属于属、属于科、性味、药用部位为、记载于文献,0.6666666666666666
三白草 Sanbaicao.txt,2025-05-16 18:56:48,功能、属、性味、文献、疾病、科、药用植物、药用部位,1.0,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7777777777777778
三色堇 Sansejin.txt,2025-05-16 18:57:10,功能、属、性味、疾病、科、药用植物、药用部位,0.875,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为,0.6666666666666666
三角叶黄连 Sanjiaoyehuanglian.txt,2025-05-16 18:58:03,中药名、功能、属、性味、文献、疾病、科、药用植物、药用部位,0.8888888888888888,主治疾病、具有功能、具有性味、属于属、属于科、药用部位为、记载于文献,0.7777777777777778
东方罂粟 Dongfangyingsu.txt,2025-05-16 18:58:22,功能、属、疾病、科、药用植物、药用部位,0.6666666666666666,主治疾病、具有功能、属于属、属于科、药用部位为,0.5555555555555556
