文件名,时间戳,实体类型,实体类型Jaccard系数,关系类型,关系类型Jaccard系数
一串红 Yichuanhong.txt,2025-05-16 21:22:00,中药名、功能、属、性味、用法、疾病、科、药用植物、药用部位、采收加工、采收时间,0.7857142857142857,主治疾病、具有功能、具有性味、属于属、属于科、用法、药用部位为、采收加工、采收时间,0.34615384615384615
一叶萩 Yiyeqiu.txt,2025-05-16 21:22:11,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.9285714285714286,不宜与、主治疾病、具有功能、具有性味、内服、属于属、属于科、用法用量、药用部位为、记载于文献,0.38461538461538464
一品红 Yipinhong.txt,2025-05-16 21:22:19,中药名、功能、属、性味、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.8571428571428571,主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为、采收加工、采收时间,0.38461538461538464
一把伞南星 Yibasannanxing.txt,2025-05-16 21:22:32,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8571428571428571,主治疾病、具有功能、具有性味、内服、包含中药、外用、属于属、属于科、用法用量、药用部位为、采收时间,0.4230769230769231
一枝黄花 Yizhihuanghua.txt,2025-05-16 21:22:43,不宜与、中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.9285714285714286,不宜与、主治疾病、具有功能、具有性味、包含中药、属于属、属于科、用法用量、药用部位为、记载于文献、采收时间,0.4230769230769231
一点红 Yidianhong.txt,2025-05-16 21:23:09,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.9285714285714286,主治疾病、具有功能、具有性味、属于属、属于科、应用举例、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.46153846153846156
丁香 Dingxiang.txt,2025-05-16 21:23:28,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.9285714285714286,主治疾病、具有功能、具有性味、包含中药、属于属、属于科、用法、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.46153846153846156
七叶一枝花 Qiyeyizhihua.txt,2025-05-16 21:23:35,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8571428571428571,主治疾病、具有功能、具有性味、外用、属于属、属于科、药用部位为、记载于文献、采收加工,0.34615384615384615
七叶树 Qiyeshu.txt,2025-05-16 21:23:45,不宜与、中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.9285714285714286,不宜与、主治疾病、具有功能、具有性味、内服、包含中药、属于属、属于科、用法用量、药用部位为、记载于文献、采收时间,0.46153846153846156
万寿竹 Wanshouzhu.txt,2025-05-16 21:23:59,中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8,主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、属于药用植物、应用举例、用法、用法用量、药用部位为、记载于文献、采收时间,0.5384615384615384
万寿菊 Wanshouju.txt,2025-05-16 21:24:10,中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收时间,0.8666666666666667,主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、应用举例、用法用量、药用部位为、记载于文献、采收时间,0.46153846153846156
万年青 Wannianqing.txt,2025-05-16 21:24:29,中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.9333333333333333,主治疾病、具有功能、具有性味、具有毒性、内服、包含中药、外用、属于属、属于科、用法、用法用量、药用部位为、记载于文献,0.4444444444444444
三七 Sanqi.txt,2025-05-16 21:24:42,中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用部位、采收加工、采收时间,0.8666666666666667,不宜与、主治疾病、具有功能、具有性味、内服、包含中药、外用、属于属、属于科、应用举例、用法用量、药用部位为、采收加工,0.48148148148148145
三分三 Sanfensan.txt,2025-05-16 21:24:50,不宜与、中药名、功能、属、性味、文献、用法用量、疾病、科、药用部位、采收时间,0.7333333333333333,不宜与、主治疾病、具有功能、具有性味、具有毒性、属于属、属于科、用法用量、药用部位为、记载于文献、采收时间,0.4074074074074074
三叉苦 Sanchaku.txt,2025-05-16 21:25:05,中药名、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.8666666666666667,中药名、主治疾病、具有功能、具有性味、内服、外用、属于属、属于科、用法用量、药用部位为、记载于文献、采收加工、采收时间,0.48148148148148145
三叶木通 Sanyemutong.txt,2025-05-16 21:25:27,中药名、其他、功能、属、性味、文献、用法、用法用量、疾病、科、药用植物、药用部位、采收加工、采收时间,0.9333333333333333,中药名、主治疾病、具有功能、具有性味、属于属、属于科、用法、用法用量、药用部位为、采收加工、采收时间,0.4074074074074074
